Unsafe,Caution,Not enough data,Safe
ABIRATERONE,ADENOSINE,ALANINE,5 Capped mRNA encoding full length SARS-COV-2 Spike protein
ACARBOSE,ADRENALINE,ALCOOL BENZYLIQUE,ARNM CODANT LA PROTÉINE SPIKE (S) VIRALE DU SARS-COV-2
ACETYLSALICYLATE DE LYSINE,ALBUMINE HUMAINE PLASMATIQUE,ALCOOL DICHLORO-2 4 BENZYLIQUE,BECLOMETHASONE
ACIDE BORIQUE,ALUMINIUM HYDROXYDE,ALKYLAMINOETHYLGLYCINE,BENZALKONIUM
ACIDE CARGLUMIQUE,ACIDE ASCORBIQUE,ALPHA-AMYLASE,BENZALKONIUM CHLORURE
ACIDE CITRIQUE,BETACAROTENE,AMYLMETACRESOL,BENZODODECINIUM
ACIDE GADOTERIQUE,BOLDINE,ANTHOCYANOSIDES,CALCIUM
ACIDE LACTIQUE,CHLOROCRESOL,ASCORBATE DE CALCIUM,CALCIUM CARBONATE
ACIDE NALIDIXIQUE,CHLORURE DE POTASSIUM,ASCORBATE DE DL-LYSINE,CAMPHRE
ACIDE PIPEMIDIQUE,CHLORURE DE SODIUM,BETASITOSTEROL,CARBONATE DE CALCIUM
ACIDE SALICYLIQUE,ELECTROLYTES,BIPENICILLINE,CARMELLOSE
ACIDE TENOIQUE,EMULSION DE LIPIDES,BORATE DE SOUDE,CETHOXINIUM
ACIDE URIDINE-5' TRIPHOSPHORIQUE,ENOXAPARINE,BROMOLACTOBIONATE DE CA,CHRE BENZALKONIUM
ACIDE ZOLÉDRONIQUE,EOSINE,BUTYLHYOSCINE BROMURE,DAPOXETINE
AFLIBERCEPT,EPINEPHRINE,CALFACTANT,DEXPANTHENOL
ALECTINIB,ESPECES PECTORALES,CARRAGHAHEEN,DIOSMINE
ALENDRONATE ANHYDRE,ESSENCE DE TEREBENTHINE,CARRAGHENATES,Dipropionate de bèclometasone
ALFACALCIDOL,ESSENCES NATURELLES,CEFDINIR,EAU POUR PREPARATIONS INJECTABLES
ALFENTANIL,ETHACRIDINE,CEFTAROLINE FOSAMIL,FIBRINOGENE
ALOGLIPTINE,FER,CHOLESTYRAMINE,Fumarate de formotèrol dihydr
ALOGLIPTINE BENZOATE,FER3,CHOLINE,GLUCAGON
ALPROSTADIL,GLUCONATE DE CALCIUM,CILASTATINE,GLYCEROL
ALTEPLASE,GLUCOSE MONOHYDRATE,COLLODION,HESPERIDINE
ALUMINIUM OXYDE,GLUCOSE,CUPRESSACEE,HESPERIDINE METHYL CHALCO
ALVERINE CITRATE,HYDROXYDE D'AL ET DE MG,DELAPRIL,HEXAMIDINE
AMANTADINE,ICHTHYOLAMMONIUM,DEXMEDETOMINE,HEXETIDINE
