"id","name","overall_status","first_trimester_status","second_trimester_status","third_trimester_status","delivery_status","summary","source_url"
"1700","5 GRAMINEES","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1701","ACARBOSE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1405","ACEBUTOLOL","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec acebutolol en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour.","https://www.lecrat.fr/7141/"
"1406","ACENOCOUMAROL","UNSAFE","SAFE","UNSAFE","UNSAFE","CAUTION","Acenocoumarol est classé UNSAFE en raison d'une embryopathie spécifique documentée : syndrome malformatif, appelé « warfarin embryopathy » ou « embryopathie aux anti-vitamine K ». Les AVK passent le placenta et peuvent entraîner des hémorragies fœtales et/ou néonatales.","https://www.lecrat.fr/10077/"
"1407","ACETAZOLAMIDE","CAUTION","CAUTION","CAUTION","CAUTION","NOT_APPLICABLE","La classification CAUTION de acetazolamide reflète des données insuffisantes en cours de grossesse pour permettre une évaluation complète du risque, en particulier au-delà du premier trimestre. Les données au premier trimestre sont limitées et ne permettent pas d'exclure formellement tout risque malformatif.","https://www.lecrat.fr/7458/"
"1702","ACETYLSALICYLATE DE LYSINE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1408","ACICLOVIR","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données publiées chez les femmes enceintes exposées à aciclovir sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre.","https://www.lecrat.fr/8587/"
"1409","ACIDE ACETYLSALICYLIQUE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données publiées chez les femmes enceintes exposées à acide acetylsalicylique sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre.","https://www.lecrat.fr/4172/"
"1703","ACIDE BORIQUE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1410","ACIDE CLAVULANIQUE","CAUTION","CAUTION","CAUTION","CAUTION","CAUTION","Le acide clavulanique est classé CAUTION en raison d'un profil de risque nécessitant des précautions spécifiques selon le terme de la grossesse. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.","https://www.lecrat.fr/6705/"
"1704","ACIDE FOLIQUE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1411","ACIDE FUSIDIQUE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec acide fusidique en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.","https://www.lecrat.fr/7467/"
"1412","ACIDE IOXITALAMIQUE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec acide ioxitalamique en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour.","https://www.lecrat.fr/9780/"
"1413","ACIDE MEFENAMIQUE","UNSAFE","CAUTION","CAUTION","UNSAFE","CAUTION","Acide mefenamique est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. Aux stades avancés de la grossesse, le risque de toxicité rénale fœtale et de toxicité cardiovasculaire est également documenté.","https://www.lecrat.fr/7481/"
