dci_name,overall_status,trimester_details/T1,trimester_details/T2,trimester_details/T3,trimester_details/DELIVERY,summary,source_url
ACETYLCYSTEINE,SAFE,SAFE,SAFE,SAFE,SAFE,Aucun effet malformatif ni fœtal/néonatal retenu. Utilisable quel que soit le terme de la grossesse (intoxication paracétamol ou fluidifiant bronchique si indispensable).,https://www.lecrat.fr/4702/
ACETYLLEUCINE,CAUTION,CAUTION,SAFE,SAFE,CAUTION,Aucun effet malformatif rapporté mais données très limitées. On préférera la méclozine au T1 ; utilisation IV envisageable quel que soit le terme.,https://www.lecrat.fr/6769/
ACIDE AZELAIQUE,SAFE,SAFE,SAFE,SAFE,SAFE,"Passage percutané négligeable, aucun effet malformatif/fœtal rapporté. Utilisation envisageable quel que soit le terme de la grossesse.",https://www.lecrat.fr/6347/
ADALIMUMAB,SAFE,SAFE,SAFE,SAFE,SAFE,"Très nombreuses données rassurantes ; aucun effet malformatif ni néonatal retenu. Possible de poursuivre quel que soit le terme, avec adaptation posologique en fin de grossesse si possible.",https://www.lecrat.fr/5103/
AMBROXOL,SAFE,SAFE,SAFE,SAFE,SAFE,Nombreuses données rassurantes tous trimestres. Utilisable quel que soit le terme si un fluidifiant bronchique est indispensable.,https://www.lecrat.fr/4713/
AMIKACINE,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,"Aucun effet malformatif retenu ; voie injectable possible quel que soit le terme. En cas de traitement prolongé, surveiller la fonction auditive néonatale. La voie inhalée nécessite de contacter le CRAT.",https://www.lecrat.fr/7705/
APIXABAN,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,Données insuffisantes ; la page renvoie à contacter le CRAT en cas d'exposition pendant la grossesse.,https://www.lecrat.fr/6187/
APREPITANT,SAFE,SAFE,SAFE,SAFE,SAFE,"Aucun effet malformatif/fœtal rapporté, non tératogène chez l'animal. Recours envisageable quel que soit le terme si les antiémétiques de première intention sont insuffisants.",https://www.lecrat.fr/11638/
ARTICAINE,SAFE,SAFE,SAFE,SAFE,SAFE,"Aucun effet malformatif retenu. L'articaïne peut être utilisée quel que soit le terme, y compris en association avec l'adrénaline.",https://www.lecrat.fr/8314/
BETAHISTINE,CAUTION,CAUTION,SAFE,SAFE,SAFE,"Aucun effet malformatif/fœtal retenu. Pour la crise vertigineuse au T1, on préférera la méclozine ; en traitement de fond, la bétahistine est envisageable quel que soit le terme.",https://www.lecrat.fr/6774/
BUPRENORPHINE,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,Aucun effet malformatif retenu. Un syndrome de sevrage néonatal est probable en cas d'utilisation jusqu'à l'accouchement. Traitement de substitution à poursuivre sous surveillance.,https://www.lecrat.fr/12748/
C,SAFE,SAFE,SAFE,SAFE,SAFE,"Vaccin COVID-19 ARNm : données très nombreuses rassurantes, aucun effet malformatif/fœtal retenu. Administration possible quel que soit le terme de la grossesse.",https://www.lecrat.fr/9427/
CARBOCISTEINE,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,"Aucun effet malformatif retenu au T1. Pour les T2/T3, les données sont insuffisantes et on préférera l'ambroxol ou l'acétylcystéine après le premier trimestre.",https://www.lecrat.fr/4720/
CARTEOL,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,"Bêtabloquant par voie ophtalmique ; aucun effet malformatif retenu. On préférera le timolol mieux connu ; si indispensable, envisageable avec surveillance néonatale.",https://www.lecrat.fr/9916/
CASPOFUNGINE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,Données très limitées ; la page renvoie à contacter le CRAT en cas d'exposition pendant la grossesse.,https://www.lecrat.fr/10232/
CEFALEXINE,SAFE,SAFE,SAFE,SAFE,SAFE,Très nombreuses données : aucun effet malformatif/fœtal/néonatal retenu. Utilisable quel que soit le terme de la grossesse.,https://www.lecrat.fr/13208/
CEFTAZIDIME,SAFE,SAFE,SAFE,SAFE,SAFE,Aucun effet malformatif/fœtal/néonatal retenu. Utilisable quel que soit le terme de la grossesse.,https://www.lecrat.fr/3626/
CEFTOLOZANE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,Aucune donnée publiée chez la femme enceinte ; non tératogène chez l'animal. La page renvoie à la spécialité Zerbaxa® (ceftolozane + tazobactam).,https://www.lecrat.fr/13380/
CEFTRIAXONE,SAFE,SAFE,SAFE,SAFE,SAFE,Aucun effet malformatif/fœtal/néonatal retenu. Utilisable quel que soit le terme de la grossesse.,https://www.lecrat.fr/3635/
CERTOLIZUMAB,SAFE,SAFE,SAFE,SAFE,SAFE,Très nombreuses données rassurantes ; passage placentaire quasi nul. Aucun effet malformatif/fœtal retenu. Peut être poursuivi quel que soit le terme.,https://www.lecrat.fr/3072/
CHLORHYDRATE D'AZELASTINE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,La page (Dymista®) renvoie aux données d'azélastine et de fluticasone séparément ; aucune classification directe disponible dans ce texte.,https://www.lecrat.fr/21030/
CHLORHYDRATE DE METFORMINE,SAFE,SAFE,SAFE,SAFE,SAFE,Très nombreuses données rassurantes tous trimestres ; aucun effet malformatif/fœtal/néonatal retenu. Peut être poursuivi pendant la grossesse si efficace.,https://www.lecrat.fr/8992/
CHLOROQUINE,SAFE,SAFE,SAFE,SAFE,SAFE,Très nombreuses données rassurantes ; aucun effet malformatif/fœtal/néonatal retenu. Utilisable quel que soit le terme en prophylaxie ou traitement du paludisme.,https://www.lecrat.fr/6452/
