CODE_PCT,NOM_COMMERCIAL,NAME_MAIN,FORM,STRENGTH,PACKAGE,PRIX_PUBLIC,TARIF_REFERENCE,CATEGORIE,DCI,AP
304172,ABBOTICINE Susp Or.200mg/5ml Fl 60ml,ABBOTICINE,Suspension Buvable,200mg/5ml,Fl 60ml,4.9,4.86,E,ERYTHROMYCINE,N
302500,ABILICARE 10 MG COMP BT 30,ABILICARE,Comprimé,10 MG,BT 30,109.675,109.65,E,ARIPIPRAZOLE,O
302501,ABILICARE 15 MG COMP BT 30,ABILICARE,Comprimé,15 MG,BT 30,123.445,123.42,E,ARIPIPRAZOLE,O
104756,ABILIFY Comp 10 mg Bt 28 ( Laboratoire  ABDI IBRAHIM),ABILIFY,Comprimé,10 mg,Bt 28,127.235,102.34,E,ARIPIPRAZOLE,O
104757,ABILIFY Comp 15 mg Bt 28 (Laboratoire  ABDI IBRAHIM),ABILIFY,Comprimé,15 mg,Bt 28,127.675,115.192,E,ARIPIPRAZOLE,O
101633,ABUFENE Comp 400mg Bt 30,ABUFENE,Comprimé,400mg,Bt 30,5.705,5.7,E,BETA-ALANINE,N
303134,ACARBOSE ADWYA 100mg Comp.Séc. Bt 90,ACARBOSE ADWYA,Comprimé Sécable,100mg,Bt 90,26.97,26.91,E,ACARBOSE,N
303133,ACARBOSE ADWYA 50mg Comp.Séc. Bt 90,ACARBOSE ADWYA,Comprimé Sécable,50mg,Bt 90,19.04,18.99,E,ACARBOSE,N
303001,ACARLYSE 100 mg Comp Bt 90,ACARLYSE,Comprimé,100 mg,Bt 90,32.955,26.91,E,ACARBOSE,N
303000,ACARLYSE 50 mg Comp B 90,ACARLYSE,Comprimé,50 mg,B 90,23.305,18.99,E,ACARBOSE,N
106764,ACETAZOLAMIDE 250mg Comp Bt 30,ACETAZOLAMIDE,Comprimé,250mg,Bt 30,10.79,3.12,E,ACETAZOLAMIDE,N
102592,ACETYLSALICYLATE DE LYSINE 500 mg p.p.i b/6+6,ACETYLSALICYLATE DE LYSINE,Poudre pour Préparation Injectable,500 mg,b/6+6,6.773,6.768,E,ACETYLSALICYLATE DE LYSINE,N
103463,ACETYLSALYCYLATE DE LYSINE LABESFAL Pdre P i nj 500 mg  VRAC,ACETYLSALYCYLATE DE LYSINE LABESFAL,Poudre,500 mg,VRAC,1.258,1.128,E,ACETYLSALICYLATE DE LYSINE,N
300933,ACICLOVIR OPALIA Comp 200mg Bt 30,ACICLOVIR OPALIA,Comprimé,200mg,Bt 30,44.255,30.81,E,ACICLOVIR,N
300122,ACICLOVIR OPALIA Crème derm 5% Tb 5gr,ACICLOVIR OPALIA,Crème Dermique,,Tb 5gr,9.92,6.135,I,ACICLOVIR,N
300258,ACICLOVIR Susp buv Fl 125ml,ACICLOVIR,Suspension Buvable,,Fl 125ml,51.19,17.5,E,ACICLOVIR,N
302932,ACIRYL 150 MG Gel BT 30,ACIRYL,Gélule,150 MG,BT 30,33.96,28.5,V,PREGABALINE,O
302931,ACIRYL 75 MG Gel BT 60,ACIRYL,Gélule,75 MG,BT 60,59.04,53.82,V,PREGABALINE,O
302488,ACIRYL Gelule 150 MG BT 60,ACIRYL,Gélule,150 MG,BT 60,67.72,57,V,PREGABALINE,O
302487,ACIRYL Gelule 75 MG  BT 15,ACIRYL,Gélule,75 MG,BT 15,15.485,13.455,V,PREGABALINE,O
302365,ACNETA  10 Gélule 10 MG BT 30,ACNETA  10,Gélule,10 MG,BT 30,18.085,18.06,I,ISOTRETINOINE,N
302486,ACNETA  20 Gelule 20 MG BT 10,ACNETA  20,Gélule,20 MG,BT 10,10.65,10.65,I,ISOTRETINOINE,N
302366,ACNETA  20 Gélule 20 MG BT 30,ACNETA  20,Gélule,20 MG,BT 30,32.24,31.95,I,ISOTRETINOINE,N
302485,ACNETA 10 Gelule 10 MG BT 10,ACNETA 10,Gélule,10 MG,BT 10,6.755,6.02,I,ISOTRETINOINE,N
302874,ACNETA 40 40 mg GEL. BT 10,ACNETA 40,Gélule,40 mg,BT 10,18.07,17.61,I,ISOTRETINOINE,N
