dci_name,overall_status,trimester_details/T1,trimester_details/T2,trimester_details/T3,trimester_details/DELIVERY,summary,source_url
ACEBUTOLOL,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec acebutolol en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/7141/
ACENOCOUMAROL,UNSAFE,SAFE,UNSAFE,UNSAFE,CAUTION,"Acenocoumarol est classé UNSAFE en raison d'une embryopathie spécifique documentée : syndrome malformatif, appelé « warfarin embryopathy » ou « embryopathie aux anti-vitamine K ». Les AVK passent le placenta et peuvent entraîner des hémorragies fœtales et/ou néonatales.",https://www.lecrat.fr/10077/
ACETAZOLAMIDE,CAUTION,CAUTION,CAUTION,CAUTION,NOT_APPLICABLE,"La classification CAUTION de acetazolamide reflète des données insuffisantes en cours de grossesse pour permettre une évaluation complète du risque, en particulier au-delà du premier trimestre. Les données au premier trimestre sont limitées et ne permettent pas d'exclure formellement tout risque malformatif.",https://www.lecrat.fr/7458/
ACICLOVIR,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à aciclovir sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre.",https://www.lecrat.fr/8587/
ACIDE ACETYLSALICYLIQUE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à acide acetylsalicylique sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre.",https://www.lecrat.fr/4172/
ACIDE CLAVULANIQUE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"Le acide clavulanique est classé CAUTION en raison d'un profil de risque nécessitant des précautions spécifiques selon le terme de la grossesse. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.",https://www.lecrat.fr/6705/
ACIDE FUSIDIQUE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec acide fusidique en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/7467/
ACIDE IOXITALAMIQUE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec acide ioxitalamique en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/9780/
ACIDE MEFENAMIQUE,UNSAFE,CAUTION,CAUTION,UNSAFE,CAUTION,"Acide mefenamique est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. Aux stades avancés de la grossesse, le risque de toxicité rénale fœtale et de toxicité cardiovasculaire est également documenté.",https://www.lecrat.fr/7481/
ACIDE N-ACETYL-ASPARTYL-GLUTAMIQUE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec acide n-acetyl-aspartyl-glutamique en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/6940/
ACIDE NIFLUMIQUE,UNSAFE,CAUTION,CAUTION,UNSAFE,CAUTION,"Acide niflumique est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. Aux stades avancés de la grossesse, le risque de toxicité rénale fœtale et de toxicité cardiovasculaire est également documenté.",https://www.lecrat.fr/15389/
ACIDE TIAPROFENIQUE,UNSAFE,CAUTION,CAUTION,UNSAFE,CAUTION,"Acide tiaprofenique est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. Aux stades avancés de la grossesse, le risque de toxicité rénale fœtale et de toxicité cardiovasculaire est également documenté.",https://www.lecrat.fr/7497/
ACIDE VALPROIQUE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,"Acide valproique est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. L’acide valproïque en monothérapie entraîne un syndrome polymalformatif dans près de 11% des cas en moyenne. L’acide valproïque passe le placenta : à terme, les concentrations néonatales sont équivalentes ou supérieures aux concentrations maternelles.",https://www.lecrat.fr/12594/
ACITRETINE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,"Acitretine est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. L’acitrétine et l’étrétinate entraînent un tableau malformatif proche de celui de l’isotrétinoïne La fréquence de ce tableau ne peut pas être calculée, car sa mise en évidence ne repose que sur des cas isolés.",https://www.lecrat.fr/10880/
ADAPALENE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"La classification CAUTION de adapalene reflète des données insuffisantes en cours de grossesse pour permettre une évaluation complète du risque, en particulier au-delà du premier trimestre. Les données au premier trimestre sont limitées et ne permettent pas d'exclure formellement tout risque malformatif.",https://www.lecrat.fr/6371/
ALBENDAZOLE,CAUTION,CAUTION,SAFE,SAFE,CAUTION,"Le albendazole est classé CAUTION en raison d'un profil de risque nécessitant des précautions spécifiques selon le terme de la grossesse. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.",https://www.lecrat.fr/7580/
ALENDRONATE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"La classification CAUTION de alendronate reflète des données insuffisantes en cours de grossesse pour permettre une évaluation complète du risque, en particulier au-delà du premier trimestre. Les données au premier trimestre sont limitées et ne permettent pas d'exclure formellement tout risque malformatif.",https://www.lecrat.fr/11484/
ALFUZOSINE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"La classification CAUTION de alfuzosine reflète des données insuffisantes en cours de grossesse pour permettre une évaluation complète du risque, en particulier au-delà du premier trimestre. Les données au premier trimestre sont limitées et ne permettent pas d'exclure formellement tout risque malformatif.",https://www.lecrat.fr/7679/
ALPRAZOLAM,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à alprazolam sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre. Aspect néonatal Les benzodiazépines utilisées jusqu’à l’accouchement peuvent entraîner chez le nouveau-né deux types d’événements transitoires qui peuvent se succéder : Des signes d’imprégnation cf.",https://www.lecrat.fr/6046/
ALTIZIDE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"Le altizide est classé CAUTION en raison d'un profil de risque nécessitant des précautions spécifiques selon le terme de la grossesse. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.",https://www.lecrat.fr/11553/
AMILORIDE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec amiloride en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/7417/
AMISULPRIDE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"La classification CAUTION de amisulpride reflète des données insuffisantes en cours de grossesse pour permettre une évaluation complète du risque, en particulier au-delà du premier trimestre. Les données au premier trimestre sont limitées et ne permettent pas d'exclure formellement tout risque malformatif. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.",https://www.lecrat.fr/12031/
AMITRIPTYLINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec amitriptyline en cours de grossesse sont très nombreuses, sans signal de risque malformatif significatif retenu à ce jour. Lors d’utilisations d’imipraminiques à fortes doses jusqu’à l’accouchement, des symptômes néonatals, le plus souvent transitoires et peu sévères, peuvent parfois apparaître dans les premiers jours de vie.",https://www.lecrat.fr/4145/
AMLODIPINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec amlodipine en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/7335/
AMOROLFINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec amorolfine en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/10280/
