NAME_MAIN,STRENGTH,FORM,PACKAGE,DCI,LABO,PAYS,CODE_PCT,DATE AMM,G/P
5-FLUOROURACILE EBEWE,1000 mg/20 ml,Solution injectable pour perfusion,B/1/20 ml,FLUOROURACILE,EBEWE Pharma,AUTRICHE,6943093H,2012-04-30,Générique
5-FLUOROURACILE EBEWE,500 mg/10 ml,Solution injectable pour perfusion,B/5/10 ml,FLUOROURACILE,EBEWE Pharma,AUTRICHE,6943092H,2012-04-30,Générique
ABEVMY,100 mg(25mg/ml),Solution à diluer pour perfusion,B/1FL/4ml,BEVACIZUMAB,BIOCON BIOLOGICS LIMITED,Inde,25263011H,2024-02-07,Biosimilaire
ABEVMY,400 mg(25mg/ml),Solution à diluer pour perfusion,B/1FL/16ml,BEVACIZUMAB,BIOCON BIOLOGICS LIMITED,Inde,25263012H,2024-02-07,Biosimilaire
ABIRATERONE ACETATE NEAPOLIS,250 mg,Comprimé,B/120,ABIRATERONE,NEAPOLIS PHARMA,Tunisie,9393191H,2021-07-12,Générique
ABREMIA,250 mg,Comprimé,B/120,ABIRATERONE,HIKMA Pharmaceuticals Co Ltd,JORDANIE,6653771H,2022-09-09,Générique
ABSTRAL,100 µg,Comprimé sublingual,B/10,FENTANYL,KYOWA KIRIN INC,Rayaume uni,16213011H,2024-05-23,Princeps
ABSTRAL,200 µg,Comprimé sublingual,B/10,FENTANYL,KYOWA KIRIN INC,Rayaume uni,16213012H,2024-05-23,Princeps
ACACIPRO 500,500 mg,Comprimé pelliculé sécable,B/10,CIPROFLOXACINE,SAIPH,Tunisie,9163911,2011-10-27,Générique
ACAMANTINE 625,500 mg/125mg,Comprimé pelliculé,B/12,AMOXICILLINE+ACIDE CLAVULANIQUE,SAIPH,Tunisie,9163901,2011-11-16,Générique
ACCOFIL,30 MU,Solution injectable,B/5/0.5 ml,FILGRASTIM,ACCORD HEALTHCARE LTD,Rayaume uni,16923101H,2017-06-28,Biosimilaire
ACCOFIL,48 MU,Solution injectable,B/5/0.5 ml,FILGRASTIM,ACCORD HEALTHCARE LTD,Rayaume uni,16923102H,2017-06-28,Biosimilaire
ACEBUTOLOL MYLAN,400 MG,Comprimé pelliculé,B/30,ACEBUTOLOL,MYLAN S.A.S,FRANCE,4923031,2001-04-07,Générique
ACETETE DE TERLIPRESSINE EVER PHARMA,0.2 mg/ml,Solution injectable,B/5,TERLIPRESSINE,EVER Valinject GmbH,AUTRICHE,23033011H,2022-06-17,Générique
ACETYLSALICYLATE DE LYSINE LABESFAL,900 MG,Pdre p.prep.injectable,B/6+6 Solvant/5ML,ACETYLSALICYLATE DE LYSINE,LABESFAL - Laboratorios Almiro S.A,PORTUGAL,4333041,2004-06-30,Générique
ACETYLSALICYLATE DE LYSINE LABESFAL,900 MG,Pdre p.prep.injectable,B/50+50 Solvant/5ML,ACETYLSALICYLATE DE LYSINE,LABESFAL - Laboratorios Almiro S.A,PORTUGAL,4333042,2005-04-05,Générique
ACICLOVIR VIATRIS,250 MG,Pdre p.prep.injectable,B/5 FL Sans solvant,ACICLOVIR,VIATRIS SANTE,FRANCE,4923101H,2001-08-10,Générique
ACIDE ACETYLSALICILIQUE OPELLA,0.500 GR,Pdre p.prep.injectable,B/20 FL,ACETYLSALICYLATE DE LYSINE,OPELLA HEALTHACARE FRANCE SAS,FRANCE,26883011H,2023-01-19,Princeps
ACIDE ACETYLSALICILIQUE PANPARMA,1 GR,Pdre p.prep.injectable,B/6+S/5ML,ACETYLSALICYLATE DE LYSINE,PANMEDICA,FRANCE,29943012,2024-12-27,Princeps
ACIDE ACETYLSALICILIQUE PANPHARMA,500 mg,Pdre p.prep.injectable,B/20 FL,ACETYLSALICYLATE DE LYSINE,PANMEDICA,FRANCE,29943011H,2024-12-27,Princeps
ACIDE ASCORBIQUE A 10 POUR CENT RENAUDIN,500 MG/5ML,Solution injectable,B/100/5ML,ACIDE ASCORBIQUE,RENAUDIN,FRANCE,7713011H,1996-11-22,Générique
ACIDE ZOLÉDRONIQUE ACCORD,4 MG/5 ML,Solution injectable,B/1 flacon,ACIDE ZOLÉDRONIQUE,ACCORD HEALTHCARE LTD,Rayaume uni,16923081H,2017-06-16,Générique
ACLASTA,5mg / 100ml,Solution injectable pour perfusion,FL/100ml,ACIDE ZOLÉDRONIQUE,Sandoz Pharmaceuticals AG,SUISSE,28583021,2023-08-24,Princeps
ACNETA 20,20 mg,Gélule,B/30,ISOTRETINOINE,TAHA PHARMA,Tunisie,9373223,2017-03-02,Générique
ACNETA 20,20 mg,Gélule,B/10,ISOTRETINOINE,TAHA PHARMA,Tunisie,9373227,2017-07-18,Générique
ACNETA5,5 MG,Gélule,B/30,ISOTRETINOINE,TAHA PHARMA,Tunisie,9373221,2017-03-02,Générique
ACNETA5,5 mg,Gélule,B/10,ISOTRETINOINE,TAHA PHARMA,Tunisie,9373225,2017-07-18,Générique
ACNODERM,0.1%,Creme dermique,T/30 g,ADAPALENE,SIMED,Tunisie,9083802,2025-05-12,Générique
ACNODERM,0.1%,Gel dermique,T/30 g,ADAPALENE,SIMED,Tunisie,9083801,2021-09-14,Générique
ACTAPULGITE,3 GR,Poudre pour suspension orale,B/16 sachets,ATTAPULGITE DE MORMOIRON ACTIVEE,TERIAK,Tunisie,9253012,2000-03-14,Princeps
ACTAPULGITE ENFANTS ET ADULTES,3 GR,Poudre pour suspension orale,B/100 sachets,ATTAPULGITE DE MORMOIRON ACTIVEE,TERIAK,Tunisie,925303H,2001-01-08,Princeps
ACTAPULGITE NOURRISSONS,1 GR,Poudre pour suspension orale,B/20 sachets,ATTAPULGITE DE MORMOIRON ACTIVEE,TERIAK,Tunisie,9253011,2000-03-14,Princeps
ACTEMRA,80 mg/4 ml,Solution injectable pour perfusion,B/1FL/4 ml,TACILIZUMAB,Roche Pharma (Schweiz) AG,SUISSE,6993201H,2013-03-18,Princeps
ACTEMRA,400 mg/20 ml,Solution injectable pour perfusion,B/1FL/20 ml,TACILIZUMAB,Roche Pharma (Schweiz) AG,SUISSE,6993203H,2013-03-18,Princeps
ACTEMRA,200 mg/10 ml,Solution injectable pour perfusion,B/1FL/10 ml,TACILIZUMAB,Roche Pharma (Schweiz) AG,SUISSE,6993202H,2013-03-18,Princeps
